10.4.2016 23:31:22 hello world launched
11.4.2016 0:11:15 hello world | launched
11.4.2016 0:12:47 loading resources | success: TOWER textures
11.4.2016 0:12:47 loading resources | failed: SAND textures
11.4.2016 0:13:19 loading resources | success: TOWER textures
11.4.2016 0:13:19 loading resources | success: SAND textures
11.4.2016 0:59:3 loading resources | success: TOWER textures
11.4.2016 0:59:3 loading resources | success: SAND textures
11.4.2016 1:15:36 loading resources | success: TOWER textures
11.4.2016 1:15:36 loading resources | success: SAND textures
11.4.2016 1:15:36 loading resources | started to load fonts
11.4.2016 1:15:36 loading resources | Couldn't open fonts/menu.bmp
11.4.2016 1:15:40 transfering | transfer from LOADING to MENU
11.4.2016 1:16:53 loading resources | success: TOWER textures
11.4.2016 1:16:53 loading resources | success: SAND textures
11.4.2016 1:16:53 loading resources | started to load fonts
11.4.2016 1:16:53 loading resources | Library not initialized
11.4.2016 1:16:57 transfering | transfer from LOADING to MENU
11.4.2016 1:18:20 loading resources | success: TOWER textures
11.4.2016 1:18:20 loading resources | success: SAND textures
11.4.2016 1:18:20 loading resources | started to load fonts
11.4.2016 1:18:20 loading resources | Library not initialized
11.4.2016 1:18:24 transfering | transfer from LOADING to MENU
11.4.2016 1:21:13 loading resources | success: TOWER textures
11.4.2016 1:21:13 loading resources | success: SAND textures
11.4.2016 1:21:13 loading resources | started to load fonts
11.4.2016 1:21:17 transfering | transfer from LOADING to MENU
11.4.2016 1:26:37 loading resources | success: TOWER textures
11.4.2016 1:26:37 loading resources | success: SAND textures
11.4.2016 1:26:37 loading resources | started to load fonts
11.4.2016 1:26:37 loading resources | 
11.4.2016 1:26:41 transfering | transfer from LOADING to MENU
11.4.2016 1:29:58 loading resources | success: TOWER textures
11.4.2016 1:29:58 loading resources | success: SAND textures
11.4.2016 1:29:58 loading resources | started to load fonts
11.4.2016 1:29:58 loading resources | 
11.4.2016 1:30:2 transfering | transfer from LOADING to MENU
11.4.2016 1:30:56 loading resources | success: TOWER textures
11.4.2016 1:30:56 loading resources | success: SAND textures
11.4.2016 1:30:56 loading resources | started to load fonts
11.4.2016 1:30:56 loading resources | 
11.4.2016 1:31:0 transfering | transfer from LOADING to MENU
11.4.2016 1:31:34 loading resources | success: TOWER textures
11.4.2016 1:31:34 loading resources | success: SAND textures
11.4.2016 1:31:34 loading resources | started to load fonts
11.4.2016 1:31:34 loading resources | 
11.4.2016 1:31:38 transfering | transfer from LOADING to MENU
11.4.2016 1:45:1 loading resources | success: TOWER textures
11.4.2016 1:45:1 loading resources | success: SAND textures
11.4.2016 1:45:1 loading resources | started to load fonts
11.4.2016 1:45:1 loading resources | 
11.4.2016 1:45:5 transfering | transfer from LOADING to MENU
11.4.2016 1:46:25 loading resources | success: TOWER textures
11.4.2016 1:46:25 loading resources | success: SAND textures
11.4.2016 1:46:25 loading resources | started to load fonts
11.4.2016 1:46:25 loading resources | 
11.4.2016 1:46:46 loading resources | success: TOWER textures
11.4.2016 1:46:46 loading resources | success: SAND textures
11.4.2016 1:46:46 loading resources | started to load fonts
11.4.2016 1:46:46 loading resources | s
11.4.2016 1:47:51 loading resources | success: TOWER textures
11.4.2016 1:47:51 loading resources | success: SAND textures
11.4.2016 1:47:51 loading resources | started to load fonts
11.4.2016 1:47:51 loading resources | 
11.4.2016 1:47:55 transfering | transfer from LOADING to MENU
11.4.2016 1:48:10 loading resources | success: TOWER textures
11.4.2016 1:48:10 loading resources | success: SAND textures
11.4.2016 1:48:10 loading resources | started to load fonts
11.4.2016 1:48:10 loading resources | 
11.4.2016 1:48:14 transfering | transfer from LOADING to MENU
11.4.2016 1:52:18 loading resources | success: TOWER textures
11.4.2016 1:52:18 loading resources | success: SAND textures
11.4.2016 1:52:18 loading resources | started to load fonts
11.4.2016 1:52:22 transfering | transfer from LOADING to MENU
11.4.2016 1:52:42 loading resources | success: TOWER textures
11.4.2016 1:52:42 loading resources | success: SAND textures
11.4.2016 1:52:42 loading resources | started to load fonts
11.4.2016 1:52:46 transfering | transfer from LOADING to MENU
11.4.2016 1:56:42 loading resources | success: TOWER textures
11.4.2016 1:56:42 loading resources | success: SAND textures
11.4.2016 1:56:42 loading resources | started to load fonts
11.4.2016 1:56:46 transfering | transfer from LOADING to MENU
15.4.2016 10:50:47 loading resources | success: TOWER textures
15.4.2016 10:50:47 loading resources | success: SAND textures
15.4.2016 10:50:47 loading resources | started to load fonts
15.4.2016 10:50:51 transfering | transfer from LOADING to MENU
15.4.2016 21:19:58 loading resources | success: TOWER textures
15.4.2016 21:19:58 loading resources | success: SAND textures
15.4.2016 21:19:58 loading resources | started to load fonts
15.4.2016 21:20:2 transfering | transfer from LOADING to MENU
15.4.2016 21:29:18 loading resources | success: TOWER textures
15.4.2016 21:29:18 loading resources | success: SAND textures
15.4.2016 21:29:18 loading resources | started to load fonts
15.4.2016 21:29:18 loading resources | Couldn't open fonts/menu.ttf
15.4.2016 21:29:22 transfering | transfer from LOADING to MENU
15.4.2016 21:30:47 loading resources | success: TOWER textures
15.4.2016 21:30:47 loading resources | success: SAND textures
15.4.2016 21:30:47 loading resources | started to load fonts
15.4.2016 21:30:51 transfering | transfer from LOADING to MENU
15.4.2016 23:20:18 loading resources | locale: opened locale file
15.4.2016 23:20:18 loading resources | locale: loaded
15.4.2016 23:20:18 loading resources | success: TOWER textures
15.4.2016 23:20:18 loading resources | success: SAND textures
15.4.2016 23:20:18 loading resources | started to load fonts
15.4.2016 23:20:22 transfering | transfer from LOADING to MENU
15.4.2016 23:34:20 loading resources | locale: opened locale file
15.4.2016 23:34:20 loading resources | locale: loaded
15.4.2016 23:34:20 loading resources | success: TOWER textures
15.4.2016 23:34:20 loading resources | success: SAND textures
15.4.2016 23:34:20 loading resources | started to load fonts
15.4.2016 23:34:24 transfering | transfer from LOADING to MENU
15.4.2016 23:40:4 loading resources | locale: opened locale file
15.4.2016 23:40:4 loading resources | locale: loaded
15.4.2016 23:40:4 loading resources | success: TOWER textures
15.4.2016 23:40:4 loading resources | success: SAND textures
15.4.2016 23:40:4 loading resources | started to load fonts
15.4.2016 23:40:8 transfering | transfer from LOADING to MENU
15.4.2016 23:41:32 loading resources | locale: opened locale file
15.4.2016 23:41:32 loading resources | locale: loaded
15.4.2016 23:41:32 loading resources | success: TOWER textures
15.4.2016 23:41:32 loading resources | success: SAND textures
15.4.2016 23:41:32 loading resources | started to load fonts
15.4.2016 23:41:36 transfering | transfer from LOADING to MENU
15.4.2016 23:42:16 loading resources | locale: opened locale file
15.4.2016 23:42:16 loading resources | locale: loaded
15.4.2016 23:42:16 loading resources | success: TOWER textures
15.4.2016 23:42:16 loading resources | success: SAND textures
15.4.2016 23:42:16 loading resources | started to load fonts
15.4.2016 23:42:20 transfering | transfer from LOADING to MENU
16.4.2016 0:48:57 loading resources | locale: opened locale file
16.4.2016 0:48:57 loading resources | locale: loaded
16.4.2016 0:48:57 loading resources | success: TOWER textures
16.4.2016 0:48:57 loading resources | success: SAND textures
16.4.2016 0:48:57 loading resources | started to load fonts
16.4.2016 0:49:1 transfering | transfer from LOADING to MENU
16.4.2016 0:49:47 loading resources | locale: opened locale file
16.4.2016 0:49:47 loading resources | locale: loaded
16.4.2016 0:49:47 loading resources | success: TOWER textures
16.4.2016 0:49:47 loading resources | success: SAND textures
16.4.2016 0:49:47 loading resources | started to load fonts
16.4.2016 0:49:51 transfering | transfer from LOADING to MENU
16.4.2016 0:53:34 loading resources | locale: opened locale file
16.4.2016 0:53:34 loading resources | locale: loaded
16.4.2016 0:53:34 loading resources | success: TOWER textures
16.4.2016 0:53:34 loading resources | success: SAND textures
16.4.2016 0:53:34 loading resources | started to load fonts
16.4.2016 0:53:38 transfering | transfer from LOADING to MENU
16.4.2016 0:56:54 loading resources | locale: opened locale file
16.4.2016 0:56:54 loading resources | locale: loaded
16.4.2016 0:56:54 loading resources | success: TOWER textures
16.4.2016 0:56:54 loading resources | success: SAND textures
16.4.2016 0:56:54 loading resources | started to load fonts
16.4.2016 0:56:58 transfering | transfer from LOADING to MENU
16.4.2016 0:58:10 loading resources | locale: opened locale file
16.4.2016 0:58:10 loading resources | locale: loaded
16.4.2016 0:58:10 loading resources | success: TOWER textures
16.4.2016 0:58:10 loading resources | success: SAND textures
16.4.2016 0:58:10 loading resources | started to load fonts
16.4.2016 0:58:14 transfering | transfer from LOADING to MENU
16.4.2016 0:58:48 loading resources | locale: opened locale file
16.4.2016 0:58:48 loading resources | locale: loaded
16.4.2016 0:58:48 loading resources | success: TOWER textures
16.4.2016 0:58:48 loading resources | success: SAND textures
16.4.2016 0:58:48 loading resources | started to load fonts
16.4.2016 0:58:52 transfering | transfer from LOADING to MENU
16.4.2016 1:32:59 loading resources | locale: opened locale file
16.4.2016 1:32:59 loading resources | locale: loaded
16.4.2016 1:32:59 loading resources | started to load fonts
16.4.2016 1:32:59 loading resources | success: TOWER textures
16.4.2016 1:32:59 loading resources | success: SAND textures
16.4.2016 1:32:59 loading resources | started to load fonts
16.4.2016 1:33:3 transfering | transfer from LOADING to MENU
16.4.2016 1:33:5 transfering | transfer from MENU to GAME
16.4.2016 1:33:16 loading resources | locale: opened locale file
16.4.2016 1:33:16 loading resources | locale: loaded
16.4.2016 1:33:16 loading resources | started to load fonts
16.4.2016 1:33:16 loading resources | success: TOWER textures
16.4.2016 1:33:16 loading resources | success: SAND textures
16.4.2016 1:33:16 loading resources | started to load fonts
16.4.2016 1:33:20 transfering | transfer from LOADING to MENU
